filename,predict_value,width,min_index,dir_level1,dir_level2,dir_level3
WIN_20250730_18_37_39_Pro (2).jpg,4.2,78,215,soyimage,6,1
WIN_20250730_18_37_42_Pro.jpg,4.0,80,213,soyimage,6,1
WIN_20250730_18_37_50_Pro (3).jpg,5.9,91,282,soyimage,6,1
WIN_20250730_18_37_50_Pro.jpg,6.0,92,290,soyimage,6,1
WIN_20250730_18_37_51_Pro.jpg,5.7,83,274,soyimage,6,1
WIN_20250730_18_37_56_Pro (2).jpg,5.8,87,277,soyimage,6,1
WIN_20250730_18_37_56_Pro (3).jpg,5.7,84,276,soyimage,6,1
WIN_20250730_18_37_56_Pro.jpg,5.8,85,279,soyimage,6,1
WIN_20250730_18_37_57_Pro (2).jpg,5.8,86,283,soyimage,6,1
WIN_20250730_18_37_57_Pro.jpg,5.8,85,284,soyimage,6,1
WIN_20250730_18_39_38_Pro (2).jpg,6.0,101,291,soyimage,6,2
WIN_20250730_18_39_38_Pro.jpg,5.9,86,283,soyimage,6,2
WIN_20250730_18_39_39_Pro (2).jpg,6.0,87,287,soyimage,6,2
WIN_20250730_18_39_39_Pro.jpg,5.9,96,285,soyimage,6,2
WIN_20250730_18_39_40_Pro (2).jpg,6.0,92,288,soyimage,6,2
WIN_20250730_18_39_40_Pro.jpg,6.0,86,290,soyimage,6,2
WIN_20250730_18_39_41_Pro (2).jpg,5.9,92,284,soyimage,6,2
WIN_20250730_18_39_41_Pro (3).jpg,6.0,97,287,soyimage,6,2
WIN_20250730_18_39_41_Pro.jpg,5.9,89,283,soyimage,6,2
WIN_20250730_18_39_42_Pro (2).jpg,6.0,97,289,soyimage,6,2
WIN_20250730_18_39_42_Pro.jpg,5.9,99,285,soyimage,6,2
WIN_20250730_18_39_43_Pro (2).jpg,5.8,89,282,soyimage,6,2
WIN_20250730_18_39_43_Pro.jpg,5.9,96,286,soyimage,6,2
WIN_20250730_18_39_44_Pro (2).jpg,5.8,90,280,soyimage,6,2
WIN_20250730_18_39_44_Pro.jpg,5.8,88,283,soyimage,6,2
WIN_20250730_18_39_45_Pro (2).jpg,6.0,87,285,soyimage,6,2
WIN_20250730_18_39_45_Pro.jpg,6.1,100,290,soyimage,6,2
WIN_20250730_18_39_51_Pro (2).jpg,5.9,80,292,soyimage,6,2
WIN_20250730_18_39_53_Pro (2).jpg,5.9,84,291,soyimage,6,2
WIN_20250730_18_39_54_Pro (2).jpg,5.8,94,286,soyimage,6,2
WIN_20250730_18_39_55_Pro (2).jpg,5.9,86,289,soyimage,6,2
WIN_20250730_18_39_56_Pro.jpg,5.9,86,292,soyimage,6,2
WIN_20250730_18_39_57_Pro.jpg,5.8,76,285,soyimage,6,2
WIN_20250730_18_39_58_Pro (2).jpg,5.8,88,285,soyimage,6,2
WIN_20250730_18_39_58_Pro.jpg,5.8,80,285,soyimage,6,2
WIN_20250730_18_39_59_Pro.jpg,5.8,82,279,soyimage,6,2
WIN_20250730_18_40_00_Pro.jpg,5.9,89,285,soyimage,6,2
WIN_20250730_18_40_01_Pro (2).jpg,5.9,87,284,soyimage,6,2
WIN_20250730_18_40_01_Pro.jpg,6.0,87,283,soyimage,6,2
WIN_20250730_18_40_02_Pro.jpg,5.9,88,283,soyimage,6,2
WIN_20250730_18_40_03_Pro.jpg,5.9,89,279,soyimage,6,2
WIN_20250730_18_40_04_Pro (2).jpg,5.9,87,280,soyimage,6,2
WIN_20250730_18_40_04_Pro.jpg,5.9,88,281,soyimage,6,2
WIN_20250730_18_40_05_Pro.jpg,5.9,88,281,soyimage,6,2
WIN_20250730_18_40_06_Pro (2).jpg,5.9,89,279,soyimage,6,2
WIN_20250730_18_40_06_Pro.jpg,5.8,86,277,soyimage,6,2
WIN_20250730_18_40_07_Pro.jpg,5.9,91,278,soyimage,6,2
WIN_20250730_18_40_08_Pro (2).jpg,5.9,85,279,soyimage,6,2
WIN_20250730_18_40_08_Pro.jpg,5.8,75,272,soyimage,6,2
WIN_20250730_18_40_09_Pro (2).jpg,5.9,93,279,soyimage,6,2
WIN_20250730_18_40_09_Pro.jpg,5.9,92,281,soyimage,6,2
WIN_20250730_18_40_10_Pro (2).jpg,6.0,89,282,soyimage,6,2
WIN_20250730_18_40_10_Pro.jpg,5.9,78,276,soyimage,6,2
WIN_20250730_18_40_11_Pro (2).jpg,5.7,90,274,soyimage,6,2
WIN_20250730_18_40_11_Pro.jpg,5.9,87,281,soyimage,6,2
WIN_20250730_18_40_12_Pro.jpg,5.8,82,276,soyimage,6,2
WIN_20250730_18_40_13_Pro (2).jpg,5.8,85,273,soyimage,6,2
WIN_20250730_18_40_13_Pro (3).jpg,5.9,84,271,soyimage,6,2
WIN_20250730_18_40_13_Pro.jpg,5.9,86,279,soyimage,6,2
WIN_20250730_18_40_14_Pro.jpg,5.9,93,280,soyimage,6,2
WIN_20250730_18_40_15_Pro.jpg,5.8,85,277,soyimage,6,2
WIN_20250730_18_40_16_Pro.jpg,5.9,84,280,soyimage,6,2
WIN_20250730_18_40_17_Pro (2).jpg,5.9,88,283,soyimage,6,2
WIN_20250730_18_40_17_Pro.jpg,5.8,80,278,soyimage,6,2
WIN_20250730_18_40_18_Pro.jpg,5.7,81,275,soyimage,6,2
WIN_20250730_18_40_19_Pro.jpg,5.8,84,279,soyimage,6,2
WIN_20250730_18_42_12_Pro.jpg,6.0,61,283,soyimage,6,3
WIN_20250730_18_42_13_Pro.jpg,6.1,61,287,soyimage,6,3
WIN_20250730_18_42_14_Pro (2).jpg,6.1,62,287,soyimage,6,3
WIN_20250730_18_42_14_Pro.jpg,6.1,62,286,soyimage,6,3
WIN_20250730_18_42_15_Pro.jpg,6.1,63,286,soyimage,6,3
WIN_20250730_18_42_16_Pro (2).jpg,6.0,61,281,soyimage,6,3
WIN_20250730_18_42_16_Pro.jpg,6.0,64,283,soyimage,6,3
WIN_20250730_18_42_17_Pro (2).jpg,6.0,69,280,soyimage,6,3
WIN_20250730_18_42_17_Pro.jpg,6.0,68,283,soyimage,6,3
WIN_20250730_18_42_18_Pro (2).jpg,6.0,77,284,soyimage,6,3
WIN_20250730_18_42_18_Pro.jpg,6.0,73,283,soyimage,6,3
WIN_20250730_18_42_19_Pro.jpg,6.0,80,283,soyimage,6,3
WIN_20250730_18_42_20_Pro (2).jpg,5.9,76,280,soyimage,6,3
WIN_20250730_18_42_20_Pro.jpg,6.1,84,288,soyimage,6,3
WIN_20250730_18_42_21_Pro (2).jpg,5.9,83,281,soyimage,6,3
WIN_20250730_18_42_21_Pro.jpg,6.1,86,287,soyimage,6,3
WIN_20250730_18_42_22_Pro (2).jpg,6.0,88,284,soyimage,6,3
WIN_20250730_18_42_22_Pro.jpg,6.1,94,288,soyimage,6,3
WIN_20250730_18_42_23_Pro (2).jpg,6.1,97,288,soyimage,6,3
WIN_20250730_18_42_23_Pro.jpg,6.0,96,283,soyimage,6,3
WIN_20250730_18_42_24_Pro (2).jpg,5.9,84,282,soyimage,6,3
WIN_20250730_18_42_24_Pro.jpg,6.0,98,287,soyimage,6,3
WIN_20250730_18_42_25_Pro.jpg,6.0,99,288,soyimage,6,3
WIN_20250730_18_42_26_Pro (2).jpg,5.9,91,284,soyimage,6,3
WIN_20250730_18_42_26_Pro (3).jpg,6.0,97,289,soyimage,6,3
WIN_20250730_18_42_26_Pro.jpg,6.0,100,287,soyimage,6,3
WIN_20250730_18_42_27_Pro (2).jpg,6.1,99,291,soyimage,6,3
WIN_20250730_18_42_27_Pro.jpg,6.0,99,286,soyimage,6,3
WIN_20250730_18_42_28_Pro (2).jpg,5.9,85,282,soyimage,6,3
WIN_20250730_18_42_28_Pro.jpg,6.0,93,288,soyimage,6,3
WIN_20250730_18_42_29_Pro (2).jpg,6.0,86,285,soyimage,6,3
WIN_20250730_18_42_29_Pro.jpg,6.0,90,287,soyimage,6,3
WIN_20250730_18_42_30_Pro (2).jpg,6.0,83,284,soyimage,6,3
WIN_20250730_18_42_30_Pro.jpg,6.0,84,287,soyimage,6,3
WIN_20250730_18_42_31_Pro.jpg,6.0,89,285,soyimage,6,3
WIN_20250730_18_42_32_Pro (2).jpg,6.0,92,284,soyimage,6,3
WIN_20250730_18_42_32_Pro.jpg,6.1,89,285,soyimage,6,3
WIN_20250730_18_42_33_Pro (2).jpg,6.1,104,289,soyimage,6,3
WIN_20250730_18_42_33_Pro (3).jpg,5.9,92,282,soyimage,6,3
WIN_20250730_18_42_33_Pro.jpg,6.0,92,285,soyimage,6,3
WIN_20250730_18_42_34_Pro.jpg,5.9,87,281,soyimage,6,3
WIN_20250730_18_42_35_Pro (2).jpg,5.9,75,281,soyimage,6,3
